mtitle,budget,rating,genre
"AVP: Alien Vs. Predator",45000000,5.4,"Action"
"Abandon",25000000,4.7,"Drama"
"Abbott and Costello Go to Mars",754000,5.2,"Comedy"
"Abbott and Costello Meet Captain Kidd",450000,5.3,"Comedy"
"Abby",400000,5.9,"None"
"Abby Singer",1500,3.5,"None"
"Aberdeen",6500000,7.3,"Drama"
"Able Edwards",30000,6.2,"Drama"
"Able's House Is Green, The",6800,9.4,"Mixed"
"About Schmidt",30000000,7.3,"Mixed"
"About a Boy",27000000,7.5,"Mixed"
"Abschied",15000,6.7,"None"
"Absolon",8000000,4.1,"Action"
"Absolute Power",50000000,6.4,"Drama"
"Absolution",13000,1.6,"Short"
"Abyss, The",69500000,7.4,"Mixed"
"Accident",600000,7.1,"Drama"
"Accountant, The",5000,6.3,"Action"
"Ace Ventura: Pet Detective",12000000,6.2,"Comedy"
"Ace Ventura: When Nature Calls",30000000,4.9,"Comedy"
"Ace in the Hole",1821052,7.9,"Drama"
"Across the Wide Missouri",5000000,6.1,"None"
"Across to Singapore",290000,6.4,"Drama"
"Actors Anonymous: The Truth Behind the Dream",30000,3.2,"Documentary"
"Acts of Betrayal",3000000,4.6,"Action"
"Adam Had Four Sons",488000,6.2,"Mixed"
"Adaptation.",19000000,7.9,"Mixed"
"Addams Family, The",38000000,6.4,"Comedy"
"Adventure",3500000,5.4,"Mixed"
"Adventure's End",90000,3.3,"None"
"Adventures of Baron Munchausen, The",46630000,6.8,"Comedy"
"Adventures of Bob & Doug McKenzie: Strange Brew, The",4000000,6.6,"Comedy"
"Adventures of Elmo in Grouchland, The",17000000,5.5,"Comedy"
"Adventures of Huck Finn, The",6500000,5.9,"Drama"
"Adventures of Lucky Pierre, The",7100,1.9,"Comedy"
"Adventures of Marco Polo, The",2000000,5.8,"None"
"Adventures of Pinocchio, The",25000000,5.6,"None"
"Adventures of Pluto Nash, The",100000000,3.9,"Mixed"
"Adventures of Robin Hood, The",1900000,8.2,"Mixed"
"Adventures of Rocky & Bullwinkle, The",76000000,4.3,"Mixed"
"Affairs of Cellini, The",549370,5.8,"Comedy"
"Affairs with Bears",7000,8.3,"Mixed"
"Affliction",6000000,6.9,"Drama"
"After Hours",4500000,7.4,"Comedy"
"After Image",1200000,3.9,"None"
"After Midnight",3000000,5.1,"None"
"After Sex",5000000,4.5,"Mixed"
"After the Sunset",58000000,6,"Mixed"
"Afterschool Delight",5000,6.3,"Mixed"
"Age of Innocence",850000,6.1,"None"
"Age of Innocence, The",34000000,7.1,"Mixed"
"Agent Cody Banks",26000000,5.5,"Mixed"
"Agent Cody Banks 2: Destination London",26000000,3.8,"Mixed"
"Agent on Ice",2500000,4.4,"Action"
"Aida degli alberi",7000000,4.3,"Animation"
"Aimee Semple McPherson",500000,8.4,"Drama"
"Air Bud",3000000,4.7,"Mixed"
"Air Force One",85000000,6.3,"Mixed"
"Air Marshal",500000,3,"Action"
"Airborne",2600000,5.2,"Comedy"
"Airmail",305000,6,"Drama"
"Airplane!",3500000,7.8,"Comedy"
"Airport",10000000,6.4,"Drama"
"Airport 1975",3000000,4.9,"Mixed"
"Akasha",1500,7.3,"None"
"Akumulator 1",2000000,7.1,"Comedy"
"Aladdin",28000000,7.6,"Mixed"
"Alamo, The",12000000,6.6,"Mixed"
"Alamo, The",95000000,5.9,"Mixed"
"Alan Smithee Film: Burn Hollywood Burn, An",10000000,3.2,"Comedy"
"Albino Alligator",5000000,6,"Drama"
"Alex's Apartment",45000,6.8,"None"
"Alexander",150000000,5.5,"Drama"
"Alexander's Ragtime Band",2000000,7.5,"Drama"
"Alferd Packer: The Musical",125000,7,"Mixed"
"Alfie",800000,7.1,"Mixed"
"Alfie",60000000,6,"Mixed"
"Ali",107000000,6.4,"Drama"
"Alias",1500000,5.7,"Mixed"
"Alice",12000000,6.4,"Mixed"
"Alice Doesn't Live Here Anymore",85000,7.3,"Drama"
"Alice in Wonderland",3000000,7.2,"Mixed"
"Alice's Adventures in Wonderland",2500000,5.6,"None"
"Alien",11000000,8.3,"None"
"Alien Abduction",600000,1.9,"None"
"Alien Dead",12000,2.4,"None"
"Alien Escape",1000000,5.6,"None"
"Alien Nation",16000000,6,"Drama"
"Alien: Resurrection",70000000,6,"Action"
"Aliens",18500000,8.3,"Action"
"Alive",32000000,6.7,"Mixed"
"All About the Benjamins",14000000,5.4,"Mixed"
"All Quiet on the Western Front",1200000,8.2,"Mixed"
"All This, and Heaven Too",1370000,7.4,"Mixed"
"All Through the Night",750000,7,"Mixed"
"All the President's Men",8500000,8,"Drama"
"All the Pretty Horses",45000000,5.6,"Drama"
"All the Queen's Men",25000000,5,"Mixed"
"All the Real Girls",1000000,6.8,"Mixed"
"All the Stage Is a World",12000,7,"Mixed"
"All the Vermeers in New York",250000,5.9,"Mixed"
"Alligator",1000000,5.5,"Comedy"
"Alligator II: The Mutation",3000000,2.7,"None"
"Almost Famous",60000000,8,"Mixed"
"Almost You",1000000,4.9,"Mixed"
"Aloha, Bobby and Rose",60000,5,"Drama"
"Alone in the Dark",20000000,2.1,"Action"
"Along Came Polly",42000000,5.8,"Mixed"
"Along Came a Spider",28000000,6.1,"Drama"
"Along for the Ride",150000,7.6,"None"
"Alpha Dead",5000,8,"Short"
"Alpha Incident, The",200000,4,"Drama"
"Als je begrijpt wat ik bedoel",2000000,7.5,"Animation"
"Always",29500000,6.2,"Mixed"
"Always Late",1000,5.8,"Short"
"Amadeus",18000000,8.3,"Drama"
"Ame agaru",3800000,7.8,"Drama"
"America 3000",2000000,3.7,"Action"
"America's Sweethearts",48000000,5.8,"Mixed"
"American Beauty",15000000,8.5,"Drama"
"American Bickman Burger, The",100000,5.7,"Short"
"American Boy: A Profile of: Steven Prince",155000,7.2,"Documentary"
"American Desi",250000,6.8,"Mixed"
"American Drive-In",10000000,4.1,"Comedy"
"American Gigolo",4800000,5.7,"Mixed"
"American Graffiti",777000,7.6,"Mixed"
"American History X",10000000,8.4,"Drama"
"American Jedi",2000,7.9,"Mixed"
"American Me",16000000,6.6,"Drama"
"American Ninja 2: The Confrontation",350000,3.7,"Mixed"
"American Outlaws",35000000,5.5,"Mixed"
"American Pie",11000000,6.8,"Comedy"
"American Pie 2",30000000,6.3,"Comedy"
"American President, The",62000000,6.9,"Mixed"
"American Psycho",8000000,6.8,"Drama"
"American Raspberry",50000,5.5,"Comedy"
"American Wedding",55000000,6.3,"Comedy"
"American Werewolf in London, An",10000000,7.2,"Mixed"
"American Werewolf in Paris, An",22000000,5,"Mixed"
"American Yearbook",500000,9.3,"None"
"American in Paris, An",2723903,7.4,"Romance"
"Amistad",40000000,7,"Drama"
"Amityville Horror, The",18000000,5.8,"None"
"Amor y el espanto, El",650000,7,"Drama"
"Amores perros",2000000,8.2,"Drama"
"Anaconda",45000000,4.1,"Action"
"Anacondas: The Hunt for the Blood Orchid",25000000,4.2,"None"
"Analyze This",30000000,6.6,"Comedy"
"Anastasia",53000000,6.5,"Animation"
"Anatomy of a Fight",17000,6.5,"Mixed"
"Anchorman: The Legend of Ron Burgundy",26000000,6.5,"Comedy"
"And Baby Makes Three",700000,5.3,"Mixed"
"And I Lived",20000,9.4,"Drama"
"And Now for Something Completely Different",100000,7.4,"Comedy"
"And Then Came Summer",2300,4.1,"Drama"
"Andy",125000,8.1,"None"
"Andy in Love",4000,8.2,"Mixed"
"Angel Eyes",38000000,5.6,"Mixed"
"Angel Heart",17000000,7.1,"None"
"Angela's Ashes",25000000,6.8,"Drama"
"Anger Management",75000000,6,"Comedy"
"Angry Red Planet, The",190000,4.7,"None"
"Anima",50000,7.9,"Mixed"
"Animal House",3000000,7.5,"Comedy"
"Animal, The",22000000,4.8,"Comedy"
"Animatrix: Final Flight of the Osiris, The",5000000,7.6,"Mixed"
"Ann Vickers",303000,6.1,"Drama"
"Anna Christie",376000,6.6,"Drama"
"Anna Karenina",1152000,7.3,"Drama"
"Anna and the King",75000000,6.6,"Mixed"
"Annie",50000000,5.7,"None"
"Annie Get Your Gun",3768785,7.2,"Mixed"
"Annie Hall",4000000,8.3,"Mixed"
"Another Language",272297,6.6,"Drama"
"Another Woman",10000000,7.2,"Drama"
"Another You",26000000,4.4,"Comedy"
"Anthony Adverse",1050500,6.7,"Mixed"
"Anthrax",2500000,4.1,"Drama"
"Antikiller",5000000,5.4,"Action"
"Antitrust",30000000,6,"Drama"
"Antman, The",800000,7.2,"Comedy"
"Antony and Cleopatra",1600000,4.9,"Drama"
"Antwone Fisher",12500000,7.4,"Drama"
"Antz",60000000,7,"Mixed"
"Anus Magillicutty",5000,1.8,"Mixed"
"Any Given Sunday",62000000,6.4,"Drama"
"Any Number Can Play",1465641,6.3,"Drama"
"Anyone",1000,9.6,"Mixed"
"Anything Else",18000000,6.5,"Mixed"
"Anything Goes",1100000,6,"Comedy"
"Anywhere But Here",23000000,5.9,"Drama"
"Apache Woman",80000,4,"None"
"Aparte",90000,8.5,"Mixed"
"Apartment Zero",4000000,6.2,"None"
"Apartment, The",3000000,8.4,"Mixed"
"Apocalypse Now",31500000,8.5,"Mixed"
"Apollo 13",62000000,7.5,"Drama"
"Apostle, The",5000000,7.2,"Drama"
"Appointment, The",45000,5.3,"None"
"Apt Pupil",14000000,6.4,"Drama"
"Arachnophobia",31000000,6.1,"Comedy"
"Arc",9000,9.4,"Short"
"Arch of Triumph",5000000,5.6,"Mixed"
"Are These Our Children",400000,6,"Drama"
"Are We There Yet?",32000000,3.5,"Comedy"
"Are You Popular?",11000,4.3,"Mixed"
"Argentino en New York, Un",3000000,4.2,"Mixed"
"Aristocats, The",4000000,6.6,"Mixed"
"Arizona",2000000,6.8,"None"
"Arlington Road",21500000,7.1,"Drama"
"Armageddon",140000000,5.7,"Action"
"Armed Response",1500000,4.2,"Action"
"Army of Darkness",11000000,7.4,"Mixed"
"Around the Fire",1200000,5.3,"None"
"Around the World in 80 Days",110000000,5.7,"Mixed"
"Around the World in Eighty Days",6000000,6.8,"Comedy"
"Arrangement",3200000,9.2,"Mixed"
"Art Thief Musical!",25000,8.5,"Short"
"Arthur",7000000,6.6,"Mixed"
"Artie Shaw: Time Is All You've Got",250000,7.9,"Documentary"
"Artificial Intelligence: AI",90000000,6.8,"Drama"
"Artists and Models",1500000,6.2,"Comedy"
"As Good as It Gets",50000000,7.7,"Mixed"
"As You Desire Me",460733,6,"Drama"
"Asburied",2000,8.7,"Short"
"Ascension",5500,8.8,"Drama"
"Asesino en serio",2500000,5.8,"Comedy"
"Ash Wednesday",4999,8.6,"Mixed"
"Assassination of Trotsky, The",2500000,5,"Drama"
"Assassins",50000000,5.7,"Action"
"Assault of the Killer Bimbos",250000,4,"Comedy"
"Assault on Precinct 13",100000,7.3,"Action"
"Assault on Precinct 13",20000000,6.3,"Mixed"
"Assisted Living",500000,7.4,"Mixed"
"Asterix in Amerika",12500000,5.4,"Mixed"
"Astronaut's Wife, The",34000000,4.8,"None"
"Aswang",70000,4.6,"None"
"Asylum of Satan",50000,2.9,"None"
"At Close Range",6500000,6.6,"Mixed"
"At First Sight",40000000,5.7,"Drama"
"At Long Last Love",6000000,4.3,"Mixed"
"At Night with No Curtains",8000,2.7,"Drama"
"Atlantic City",7200000,7.5,"Mixed"
"Atlantida",1000000,7.6,"Mixed"
"Atlantis: The Lost Empire",90000000,6.4,"Mixed"
"Atlas",70000,4,"Mixed"
"Atomic Submarine, The",135000,3.9,"Action"
"Atrapados",3500,9.4,"Short"
"Attack of the 50 Foot Woman",88000,4.5,"None"
"Attack of the Crab Monsters",70000,4,"None"
"Attack of the Giant Leeches",70000,2.8,"None"
"Attic Expeditions, The",1000000,5.4,"None"
"Attic Man",6000,8.7,"Mixed"
"Attila",900000,5.2,"Drama"
"Auch Zwerge haben klein angefangen",200000,7.2,"Drama"
"Aura",19000,8.5,"Short"
"Aurora",90000,4.5,"Mixed"
"Austerlitz",4000000,5.1,"Drama"
"Austin Powers in Goldmember",63000000,6.2,"Mixed"
"Austin Powers: International Man of Mystery",17000000,7,"Mixed"
"Austin Powers: The Spy Who Shagged Me",33000000,6.5,"Mixed"
"Auteur Theory, The",70000,4.5,"Comedy"
"Auto Focus",7000000,6.7,"Drama"
"Automation",41000,6.1,"Short"
"Autumn in New York",40000000,4.7,"Mixed"
"Avalon",8000000,6.8,"Mixed"
"Avanti popolo",60000,8.8,"Drama"
"Avanti!",2750000,7.2,"Mixed"
"Avatars",20000,3.3,"Mixed"
"Avengers, The",60000000,3.4,"Action"
"Aviator, The",116000000,7.5,"Drama"
"Awfully Big Adventure, An",4000000,5.8,"Drama"
"Ayurveda: Art of Being",300000,7.2,"Documentary"
"BUtterfield 8",2500000,6,"Drama"
"Babe",30000000,7.4,"Mixed"
"Babe: Pig in the City",80000000,6.5,"Comedy"
"Babel",20000000,4.5,"None"
"Babes in Arms",748000,6.5,"None"
"Babes on Broadway",940068,6.5,"None"
"Baby Blue",2500000,6.4,"None"
"Baby Boy",16000000,6.2,"Mixed"
"Baby Face",187000,6.4,"Drama"
"Baby Geniuses",13000000,2.4,"Comedy"
"Baby It's You",3000000,6.3,"Mixed"
"Baby's Day Out",50000000,4.4,"Comedy"
"Bacheha-Ye aseman",180000,7.6,"Mixed"
"Bachelor Father, The",502000,5.5,"Mixed"
"Bachelor, The",21000000,5,"Mixed"
"Back to God's Country",67000,6.4,"Romance"
"Back to the Future",19000000,8.1,"Mixed"
"Back to the Future Part II",40000000,7,"Comedy"
"Back to the Future Part III",40000000,6.7,"Comedy"
"Back to the Future... The Ride",40000000,7.3,"Short"
"Bad Boy Bubby",750000,7,"Mixed"
"Bad Boys",23000000,6.4,"Mixed"
"Bad Boys II",130000000,6.1,"Mixed"
"Bad Company",70000000,5.4,"Mixed"
"Bad Dreams",4000000,4.2,"None"
"Bad Girls from Mars",52000,3.7,"Comedy"
"Bad Moon",7000000,4.4,"Action"
"Bad Santa",18000000,7.2,"Comedy"
"Bad Seed, The",1000000,7.3,"None"
"Bad Taste",150000,6.9,"Comedy"
"Bad and the Beautiful, The",1558000,7.6,"Drama"
"Badge, The",6000000,6.3,"Mixed"
"Badkonake sefid",150000,7.4,"Drama"
"Badlands",500000,7.7,"Drama"
"Bait",35000000,5.6,"Mixed"
"Ballad of Cable Hogue, The",3716946,7.2,"Comedy"
"Ballad of Jack and Rose, The",1500000,6.2,"Drama"
"Ballistic: Ecks vs. Sever",70000000,3.4,"Action"
"Bamboozled",10000000,6.3,"Mixed"
"Bananas",2000000,7.1,"Comedy"
"Band Wagon, The",2169120,7.5,"Comedy"
"Band of the Hand",8700000,4.9,"Mixed"
"Bandits",80000000,6.7,"Mixed"
"Banger Sisters, The",10000000,5.6,"Mixed"
"Bank Robbery, The",1000,5.7,"Mixed"
"Baptists at Our Barbecue",500000,5.9,"Mixed"
"Barbarella",9000000,5.6,"None"
"Barbarian and the Geisha, The",3500000,4.7,"Drama"
"Barbarian, The",444399,6.2,"Mixed"
"Barbarians, The",750000,4.5,"None"
"Barbarians, The",4000000,3.5,"None"
"Barbary Coast",778000,6.6,"Mixed"
"Barbershop",12000000,6.6,"Mixed"
"Barbershop 2: Back in Business",18000000,5.7,"Comedy"
"Barcelona",3200000,6.6,"Mixed"
"Barkleys of Broadway, The",2325420,6.6,"Comedy"
"Barn Dance, The",5121,5.9,"Mixed"
"Barney's Great Adventure",15000000,2.9,"None"
"Barriers",140000,8,"None"
"Barry Lyndon",11000000,8,"Mixed"
"Barton Fink",9000000,7.5,"Drama"
"Bashful Bachelor, The",165000,5.7,"Comedy"
"Basic",50000000,6.2,"Drama"
"Basic Instinct",49000000,6.7,"None"
"Basil",10000000,6.1,"Mixed"
"Basket Case 2",2500000,3.9,"Comedy"
"Basket, The",3000000,6.3,"Drama"
"Bathing Beauty",2361000,6.1,"Comedy"
"Batman",35000000,7.4,"Action"
"Batman & Robin",110000000,3.6,"Action"
"Batman Forever",100000000,5.4,"Mixed"
"Batman Returns",80000000,6.5,"Mixed"
"Batman: Dead End",30000,7.3,"Mixed"
"Batoru rowaiaru",4500000,7.9,"Mixed"
"Batoru rowaiaru II: Rekuiemu",9000000,4.8,"Action"
"Battle Beyond the Stars",2000000,4.9,"None"
"Battle for the Planet of the Apes",1800000,4.9,"Mixed"
"Battle of Britain",12000000,6.7,"Mixed"
"Battle of Shaker Heights, The",1000000,6,"Mixed"
"Battlefield Earth: A Saga of the Year 3000",73000000,2.4,"Action"
"Be Cool",53000000,5.5,"Comedy"
"Be Good Daniel",4000,5.7,"Mixed"
"Beach Party",350000,5.3,"Mixed"
"Beach, The",50000000,5.8,"Drama"
"Bean",22000000,5.4,"Comedy"
"Bean Cake",12000,6.8,"Short"
"Bear, The",221000,5.9,"Mixed"
"Beast From 20,000 Fathoms, The",210000,6.3,"None"
"Beast of Yucca Flats, The",34000,1.5,"None"
"Beast of the City, The",230000,7.3,"Drama"
"Beast with a Million Eyes, The",23000,3.2,"None"
"Beaster",5000,6.9,"Mixed"
"Beastmaster 2: Through the Portal of Time",6000000,3.1,"Action"
"Beat the Devil",1000000,6.6,"Mixed"
"Beat the Drum",1500000,7,"Drama"
"Beat, The",700000,8.5,"Mixed"
"Beautiful",9000000,5.3,"Mixed"
"Beautiful Country, The",6000000,6.9,"Drama"
"Beautiful Mind, A",60000000,7.8,"Drama"
"Beauty in Chaos",30000,8.8,"Drama"
"Beavis and Butt-Head Do America",12000000,6.2,"Mixed"
"Because of Winn-Dixie",14000000,5.9,"Mixed"
"Beccerra",3000,7.1,"Mixed"
"Becket",3000000,8,"Drama"
"Becky Sharp",950000,6.2,"Drama"
"Bedazzled",48000000,5.9,"Comedy"
"Bedknobs and Broomsticks",20000000,6.5,"Animation"
"Beer Muscles",5000,9.3,"Comedy"
"Beetle Juice",15000000,7.1,"Comedy"
"Before Sunrise",2500000,7.8,"Mixed"
"Before Sunset",10000000,8.3,"Mixed"
"Begotten",33000,5.8,"None"
"Behind Enemy Lines",40000000,6.1,"Mixed"
"Behold a Pale Horse",3900000,6.7,"Drama"
"Being Human",30000000,4.8,"Mixed"
"Being John Malkovich",13000000,7.9,"Mixed"
"Being Julia",18000000,7.2,"Mixed"
"Bela Donna",5500000,4.7,"Mixed"
"Bela Lugosi Meets a Brooklyn Gorilla",50000,2.6,"Comedy"
"Bellboy, The",900000,6.1,"Comedy"
"Belle of New York, The",2606644,5.7,"Mixed"
"Belle of the Nineties",800000,6.3,"Comedy"
"Bells Are Ringing",2203123,6.8,"Mixed"
"Bells of Innocence",2750000,2.7,"None"
"Belly",10000000,4.5,"Drama"
"Belly of the Beast",18000000,4.2,"Action"
"Beloved",53000000,5.6,"Drama"
"Below the Belt",1500000,7.9,"Comedy"
"Ben-Hur",3900000,8,"Mixed"
"Ben-Hur",15000000,8.1,"Mixed"
"Beneath the Planet of the Apes",3000000,5.8,"Mixed"
"Beneath the Valley of the Ultra-Vixens",239000,5.2,"Comedy"
"Benji",500000,5.7,"None"
"Beowulf",20000000,3.7,"Action"
"Best Foot Forward",1125502,6.2,"Comedy"
"Best Laid Plans",7000000,6.3,"Drama"
"Best Years of Our Lives, The",2100000,8.4,"Mixed"
"Best in Show",6000000,7.5,"Comedy"
"Betrayal",750000,4.7,"Mixed"
"Better Luck Tomorrow",250000,7.3,"Drama"
"Better Place, A",100000,5.8,"Drama"
"Better Than Sex",300000,6.8,"Comedy"
"Bettie Page: Dark Angel",50000,3.4,"Drama"
"Beverly Hills Cop",15000000,7.1,"Mixed"
"Beverly Hills Cop II",20000000,5.8,"Mixed"
"Beverly Hills Cop III",50000000,4.7,"Mixed"
"Beyond Atlantis",200000,3.9,"None"
"Beyond Borders",35000000,5.4,"Mixed"
"Beyond Expectations",60000,7.6,"Comedy"
"Beyond Rangoon",23000000,6.4,"Drama"
"Beyond Re-Animator",3000000,6.1,"Comedy"
"Beyond the Mat",500000,7.3,"Documentary"
"Beyond the Pale",350000,6.2,"Drama"
"Beyond the Sea",24000000,6.7,"Drama"
"Beyond the Time Barrier",125000,4.3,"None"
"Beyond the Valley of the Dolls",900000,5.4,"Mixed"
"Bible!",35000,3.6,"Romance"
"Bible, The",18000000,5.2,"Drama"
"Bicentennial Man",100000000,6.2,"Mixed"
"Big",18000000,7.2,"Comedy"
"Big Bounce, The",50000000,4.7,"Comedy"
"Big Brass Ring, The",7000000,5.4,"Drama"
"Big Bully",15000000,4.2,"Mixed"
"Big Daddy",34200000,5.9,"Comedy"
"Big Doll House, The",125000,4.6,"Mixed"
"Big Fat Liar",15000000,5.5,"Comedy"
"Big Fish",70000000,8.1,"Mixed"
"Big Fisherman, The",4000000,5.8,"Drama"
"Big Hit, The",13000000,5.7,"Mixed"
"Big Jim McLain",826000,4.3,"Mixed"
"Big Lebowski, The",15000000,8,"Comedy"
"Big Momma's House",30000000,4.7,"Comedy"
"Big Parade, The",245000,8.7,"Mixed"
"Big Picture, The",5000000,6.4,"Mixed"
"Big Snatch, The",11000,4.4,"Drama"
"Big Tease, The",4000000,6.1,"Comedy"
"Big Trouble",40000000,6.4,"Comedy"
"Big Trouble in Little China",25000000,6.7,"Mixed"
"Big Wednesday",11000000,6.6,"Mixed"
"Bigger Than the Sky",750000,7.3,"Mixed"
"Bijou",22000,6.9,"None"
"Bikini Beach",600000,4.9,"Mixed"
"Bill & Ted's Bogus Journey",20000000,5.6,"Comedy"
"Bill & Ted's Excellent Adventure",10000000,6.6,"Comedy"
"Bill of Divorcement, A",300000,6.5,"Drama"
"Billy Elliot",5000000,7.7,"Drama"
"Billy Jack",800000,5.5,"Mixed"
"Bingo",10000000,4.1,"Comedy"
"Bingo Bus, A",4000,6.6,"Mixed"
"Biohazard",250000,3.2,"None"
"Bird",9000000,7.1,"Drama"
"Birds, The",2500000,7.8,"Drama"
"Birdy in the Cage",2000,9,"Mixed"
"Birth",20000000,6,"Mixed"
"Birth of a Nation, The",110000,7.1,"Drama"
"Birth of the Blues",857283,6.2,"None"
"Birthday Girl",13000000,6.1,"Mixed"
"Bitter Old Man",2000,8.8,"Mixed"
"Black Canyon",3000,9.9,"Short"
"Black Cat, The",95745,7.2,"None"
"Black Cauldron, The",44000000,6.2,"Animation"
"Black Gold",450000,6,"Drama"
"Black Gulch",55000,6,"Mixed"
"Black Hawk Down",90000000,7.6,"Mixed"
"Black Hills",414000,5.6,"None"
"Black Hole, The",18500000,5.4,"None"
"Black Knight",50000000,4.1,"Comedy"
"Black Legion",235000,6.8,"Drama"
"Black Rain",14000000,6.3,"Mixed"
"Black Room, The",250000,4.5,"None"
"Black Sleep, The",225000,5.5,"None"
"Black Snake",300000,3.7,"None"
"Black Stallion, The",2700000,7,"None"
"Black and White",10000000,5.2,"Drama"
"Black-Eyed Susan",50000,7.4,"Comedy"
"Blacktop",3500000,4.7,"None"
"Blackwater Elegy",40000,9,"Mixed"
"Blade",45000000,6.8,"Action"
"Blade II",55000000,6.6,"Action"
"Blade Runner",28000000,8.2,"Mixed"
"Blade: Trinity",65000000,5.7,"Action"
"Blair Witch Mountain Project, The",7000,2.8,"Short"
"Blair Witch Project, The",35000,6.1,"None"
"Blanche Fury",1500000,6.6,"Mixed"
"Blast from the Past",35000000,6.4,"Mixed"
"Blazing Saddles",2600000,7.7,"Comedy"
"Bless the Child",40000000,5,"None"
"Blind Horizon",5100000,5.5,"Drama"
"Blind Husbands",125000,7.4,"Mixed"
"Blink",11000000,6.1,"None"
"Blitz",5000,6.3,"Short"
"Blob, The",240000,6,"Comedy"
"Blob, The",9000000,5.5,"None"
"Blondie of the Follies",602620,6,"Comedy"
"Blood & Guts",700000,4.6,"Drama"
"Blood Alley",2000000,5.7,"None"
"Blood Feast",24500,4.5,"None"
"Blood Money",238591,7.6,"Drama"
"Blood Shot",35000,4.5,"Mixed"
"Blood Work",50000000,6.3,"Drama"
"Blood and Wine",26000000,6,"Drama"
"Blood of Jesus, The",5000,4.5,"Drama"
"Blood of the Beast",2000,9.1,"None"
"Blood of the Samurai",2000,6.5,"Action"
"Blood, Guts, Bullets and Octane",7300,5.3,"Mixed"
"Bloodletting",10000,4.8,"None"
"Bloodline",12000000,3.9,"None"
"Bloodsucking Pharaohs in Pittsburgh",250000,3.6,"Comedy"
"Bloody Brood, The",80000,4.2,"Drama"
"Bloody Sunday",5000000,7.6,"Drama"
"Blotter",15000,7.1,"Mixed"
"Blow",30000000,7.1,"Drama"
"Blow Out",18000000,7,"None"
"Blowing Wild",1000000,5.6,"Mixed"
"Blowup",1800000,7.4,"Drama"
"Blue Bird, The",12000000,3.9,"None"
"Blue Citrus Hearts",3000,7,"Drama"
"Blue Crush",30000000,5.7,"Mixed"
"Blue Hill Avenue",1200000,6.6,"Drama"
"Blue Lagoon, The",4500000,4.7,"Mixed"
"Blue Moon",1000,6.8,"Mixed"
"Blue Skies",3000000,6.3,"Mixed"
"Blue Streak",36000000,5.8,"Mixed"
"Blue Velvet",6000000,7.7,"Drama"
"Blue in Green",50000,9.1,"Drama"
"Blue in the Face",2000000,6.4,"Comedy"
"Bluefish",7000,7.6,"Mixed"
"Blues Brothers 2000",28000000,4.5,"Comedy"
"Blues Brothers, The",27000000,7.7,"Mixed"
"Blues Lahofesh Hagadol",350000,7.8,"Mixed"
"Boat Trip",20000000,4.5,"Comedy"
